Date,Open,High,Low,Close,Volume
08/25/2022,"18.80","19.04","18.64","18.64","5,306,700"
08/26/2022,"18.78","18.90","18.58","18.60","9,094,000"
08/30/2022,"18.40","18.42","17.96","17.96","19,476,699"
08/31/2022,"17.90","17.96","17.40","17.40","25,154,301"
09/01/2022,"17.46","18.00","17.38","17.52","6,038,000"
09/02/2022,"17.66","18.28","17.62","17.88","11,037,900"
09/05/2022,"17.92","18.10","17.52","17.80","4,719,300"
09/06/2022,"17.58","17.80","17.58","17.62","5,518,500"
09/07/2022,"17.62","17.68","17.30","17.30","6,736,300"
09/08/2022,"17.40","17.70","17.20","17.20","8,023,500"
09/09/2022,"17.26","17.62","17.10","17.10","4,364,700"
09/12/2022,"17.14","17.60","17.14","17.20","3,832,200"
09/13/2022,"17.40","17.50","17.04","17.06","6,014,600"
09/14/2022,"16.90","17.06","16.70","16.90","6,535,800"
09/15/2022,"16.90","17.44","16.90","17.18","4,642,900"
09/16/2022,"17.18","17.30","17.00","17.30","17,688,500"
09/19/2022,"17.38","17.48","16.72","16.86","5,540,800"
09/20/2022,"17.00","17.30","16.96","17.26","3,631,700"
09/21/2022,"17.22","17.24","16.80","16.82","3,853,700"
09/22/2022,"16.72","16.74","14.92","14.92","31,331,301"
09/23/2022,"15.28","15.46","14.88","15.14","9,969,100"
09/27/2022,"14.90","15.00","14.60","15.00","8,909,700"
09/28/2022,"14.98","14.98","14.70","14.90","7,069,700"
09/29/2022,"15.12","15.30","14.16","14.16","10,677,900"
09/30/2022,"14.10","14.10","12.66","13.10","22,201,199"
10/03/2022,"13.20","13.38","12.70","13.32","6,882,200"
10/04/2022,"13.56","13.70","12.90","13.04","11,723,200"
10/05/2022,"13.32","13.32","12.00","12.00","16,955,699"
10/06/2022,"12.20","12.68","12.14","12.40","16,753,699"
10/07/2022,"12.46","13.50","12.46","13.00","10,170,300"
10/10/2022,"13.04","13.06","12.20","12.20","7,771,700"
10/11/2022,"12.20","12.62","12.20","12.44","7,945,700"
10/12/2022,"12.44","12.80","12.32","12.48","3,891,300"
10/13/2022,"12.60","12.76","12.40","12.52","14,950,300"
10/14/2022,"12.66","12.84","12.46","12.50","8,156,900"
10/17/2022,"12.50","13.10","12.50","12.80","9,679,900"
10/18/2022,"13.02","13.18","12.40","12.60","9,315,100"
10/19/2022,"12.58","12.80","12.44","12.50","4,416,600"
10/20/2022,"12.60","12.76","12.36","12.50","14,193,000"
10/21/2022,"12.60","12.64","12.36","12.38","3,363,800"
10/24/2022,"12.48","12.62","12.38","12.48","2,807,000"
10/25/2022,"12.48","12.62","12.26","12.48","7,130,800"
10/26/2022,"12.46","12.66","12.36","12.66","3,297,100"
10/27/2022,"12.66","13.20","12.60","12.70","10,881,600"
10/28/2022,"12.90","13.00","12.32","12.32","6,929,800"
11/02/2022,"12.50","12.62","12.32","12.32","7,608,900"
11/03/2022,"12.34","12.50","12.00","12.30","6,103,100"
11/04/2022,"12.30","12.42","12.00","12.02","7,028,300"
11/07/2022,"11.98","12.20","11.80","11.90","10,050,700"
11/08/2022,"11.82","11.98","11.34","11.38","6,538,100"
11/09/2022,"11.32","11.34","11.04","11.10","6,110,100"
11/10/2022,"11.08","12.26","11.02","12.00","13,689,300"
11/11/2022,"12.04","12.50","12.04","12.50","7,685,200"
11/14/2022,"12.50","12.94","12.46","12.80","12,580,200"
11/15/2022,"12.88","13.96","12.76","13.94","22,539,100"
11/16/2022,"14.00","15.16","13.98","15.08","42,680,500"
11/17/2022,"15.20","15.20","14.74","15.00","14,893,600"
11/18/2022,"14.90","15.26","14.90","15.00","8,001,100"
11/21/2022,"14.98","15.44","14.98","15.30","11,273,500"
11/22/2022,"15.24","15.26","14.40","14.70","11,291,200"
11/23/2022,"15.00","15.16","14.84","15.00","4,432,300"
11/24/2022,"15.00","16.66","14.92","16.00","13,529,100"
11/25/2022,"16.04","16.78","15.88","16.30","14,665,100"
11/28/2022,"16.32","16.68","16.04","16.10","10,296,400"
11/29/2022,"15.98","16.08","15.12","15.46","152,632,297"
12/01/2022,"15.52","16.46","15.50","16.00","24,993,199"
12/02/2022,"15.64","15.94","15.16","15.30","12,227,300"
12/05/2022,"15.40","16.02","15.38","15.94","10,354,600"
12/06/2022,"15.76","16.20","15.56","16.00","10,796,800"
12/07/2022,"15.98","16.22","15.64","16.00","12,128,200"
12/09/2022,"16.00","16.00","15.70","16.00","5,539,100"
12/12/2022,"15.98","15.98","15.20","15.20","4,452,700"
12/13/2022,"15.24","15.38","14.06","14.10","12,615,900"
12/14/2022,"14.20","14.76","14.20","14.60","3,138,200"
12/15/2022,"14.62","14.72","14.18","14.28","2,060,700"
12/16/2022,"14.10","14.10","13.74","13.74","5,805,700"
12/19/2022,"13.76","13.76","12.32","12.36","13,957,400"
12/20/2022,"12.50","12.90","12.46","12.70","5,509,900"
12/21/2022,"12.98","13.66","12.96","13.48","3,707,300"
12/22/2022,"13.68","14.18","13.68","14.00","6,819,800"
12/23/2022,"14.00","14.00","13.72","13.92","1,615,400"
12/27/2022,"13.92","14.84","13.92","14.70","9,221,700"
12/28/2022,"14.70","15.66","14.30","15.66","12,495,900"
12/29/2022,"15.52","16.00","15.12","15.88","11,920,200"
